attack,setting,count,survival_rate,survival_ci95_low,survival_ci95_high,score_sem,lpips_sem,tokens_changed_pct_sem
Token regeneration,fresh clean sample,1000,0.0,0.0,0.003826898586390522,0.3799530751807899,,
VQ-VAE roundtrip,decode/re-encode,1000,0.908,0.8884908764642334,0.9243863742892722,1.7663718706958589,0.0004659932442109652,0.3872444144001103
Diffusion regeneration,strength=0.01,1000,0.273,0.24629547549340855,0.30144193646481293,0.7678432484916788,,
Diffusion regeneration,strength=0.02,1000,0.273,0.24629547549340855,0.30144193646481293,0.7678432484916788,,
Diffusion regeneration,strength=0.04,1000,0.0,0.0,0.003826898586390522,0.3641750945623538,,
Diffusion regeneration,strength=0.08,1000,0.001,0.00017654182905727173,0.00564270296016047,0.395843366713364,,
