strength,clean_fpr,watermarked_tpr,survival_rate,lpips,fid,attacked_count
0.01,0.0,1.0,0.273,0.028556483598891645,5.263844225471701,1000
0.02,0.0,1.0,0.273,0.028556483598891645,5.263844225471701,1000
0.04,0.0,1.0,0.0,0.0475471176058054,8.06142032328745,1000
0.08,0.0,1.0,0.001,0.09938082545995712,22.421798307491088,1000
